Family,Non-native Species,Probable method of introduction,Year,From,Found in,Reference
Megachilidae (33),Megachile sculpturalis,A,1990,"Far east China, Korea, Japan","US, S Canada, Europe","[11,12,34,35]"
Megachilidae (33),Megachile timberlakei,A,2010,Hawaii?,Galapagos,"[9,22,36]"
Megachilidae (33),Megachile umbripenne,A,2013,S Asia,"Fiji, Samoa, Hawaii?","[9,26]"
Megachilidae (33),Osmia caerulescens,A,1800s,"Europe, N Africa, Near East, India","US, S Canada, New Zealand","[11,12]"
Megachilidae (33),Osmia cornifrons,I,1960,"East China, Japan","US, Denmark, Korea",[12]
Megachilidae (33),Osmia cornuta,I,1980,"Europe, N Africa, Near East",establishment not documented,[37]
Megachilidae (33),Osmia ribifloris,I,1991,W US,"Maine/E US, establishment uncertain",[38]
Megachilidae (33),Osmia taurus,A,2000,"East China, Japan","E US, Michigan",[16] Gibbs et al in prep
Megachilidae (33),Pseudoanthidium nana,A,2000,Europe and Near East,NE US,pers. comm. S. Droege
Apidae (30),Amegilla pulchra,A,?,Australia,Fiji,[39]
Apidae (30),Anthophora villosula,I,1980,Japan,E US,[12]
Apidae (30),Apis cerana,A,2007,Asia,"Australia, Russia, Iran (Crane 1995), Papua New Guinea (Bradbear and MacKay 1995), Samoa, Fiji, Vanuatu",[40]
Apidae (30),Apis dorsata,A,?,Asia,Japan,[41]
Apidae (30),Apis florea,I,1985,"Oman, Asia, Indonesia","Iraq, Sudan (Glaiim 2005)",[42–45]
Apidae (30),Apis mellifera,I,1620,"N Europe, Meditteranean",globally introduced,"[11,12]"
Apidae (30),Bombus hortorum,I,1885,UK,New Zealand,[19]
Apidae (30),Bombus hypnorum,N,2001,Europe,UK,"[46,47]"
Apidae (30),Bombus impatiens,I,2003,North America,"Chile, Mexico, Central America, Canada","[33,48]"
Apidae (30),Bombus lucorum,NA,1981,"Europe, China",Iceland,[19]
Apidae (30),Bombus ruderatus,I,1885,UK,"New Zealand, Chile, Argentina, Patagonia, Canary Islands","[19,33,49]"
Apidae (30),Bombus subterraneous,I,1885,UK,New Zealand,[19]
Apidae (30),Bombus terrestris,I,1885,UK,"Chile, China, Israel, Japan, Mexico, South Africa, South Korea, New Zealand, Tasmania, and Taiwan","[19,33,49–51]"
Apidae (30),Braunsapis puangensis,A,2003,"Asia, india",Fiji,[52–55]
Apidae (30),Centris nitida,A,2000,"SW US, Mexico, central, S America",Florida,[56]
Apidae (30),Ceratina arizonensis,A,1950,W US,Hawaii,[9]
Apidae (30),Ceratina cobaltina,A,1970,Mexico,Texas,pers. comm. S. Droege
Apidae (30),Ceratina dallatorreana,A,1940,Meditteranean,California,[57]
Apidae (30),Ceratina dentipes,A,1909,"Turkey, Cyprus, S Asia, Australia","Vanuatu, Fiji, Samoa, Cook Islands, Hawaii, Japan, Mauritius",[9]
Apidae (30),Ceratina smaragdula,I,1960,"Pakistan, India, SE Asia","Hawaii, Australia",[9]
Apidae (30),Euglossa dilemma,A,2000,Mexico and Central America,Florida,[58]
Apidae (30),Peponapis pruinosa,N,?,Mexico,North America,[59]
Apidae (30),Plebia frontalis,I?,2010,"Mexico, Central, South America",California,pers. comm. S. Droege
Apidae (30),Triepeolus remigatus,N,?,Mexico,North America,pers. comm. S. Droege
Apidae (30),Xenoglossa strenua,N,?,Mexico,North America,pers. comm. S. Droege
Apidae (30),Xylocopa appendiculata,A,2010,Japan and China,California,[60]
Apidae (30),Xylocopa augusti,A,2013,Argentina,Chile,[61]
Apidae (30),Xylocopa sonorina,I,?,W US,"Samoa, Hawaii, Guam, Northern Marianas Islands, Japan","[9,41,62]"
Apidae (30),Xylocopa tabaniformis parkinsoniae,A,1990,South Texas,W US,pers. comm. S. Droege
Apidae (30),Xylocopa tranquebarorum,A,2005,Asia,Japan,[63]
